,id,click,hour
0,1.000094927118603e+19,1,14102100
1,1.0004765361151097e+19,1,14102100
2,1.0005609489911214e+19,1,14102100
3,1.0006490708516192e+19,1,14102100
4,1.0006958186789044e+19,1,14102100
5,1.0007164336863914e+19,1,14102100
6,1.000784753089692e+19,1,14102100
7,1.000794442997696e+19,1,14102100
8,1.0009699694430474e+19,1,14102100
9,1.0009910814812262e+19,1,14102100
10,1.001045232173639e+19,1,14102100
11,1.0010966574628106e+19,1,14102100
12,1.0011560478081711e+18,1,14102100
13,1.0011658782619042e+19,1,14102100
14,1.0013378798301872e+19,1,14102100
15,1.0014190212266332e+19,1,14102100
16,1.001428506479524e+19,1,14102100
17,1.0014887683839787e+19,1,14102100
18,1.0015405794859645e+19,1,14102100
19,1.001562944828966e+19,1,14102100
20,1.0016451205115605e+19,1,14102100
21,1.0017246106627471e+19,1,14102100
22,1.0017325201002992e+19,1,14102100
23,1.0018076683759768e+19,1,14102100
24,1.0018756062798084e+19,1,14102100
25,1.0019130757025386e+18,1,14102100
26,1.0020492815188881e+19,1,14102100
27,1.0021697715830989e+19,1,14102100
28,1.0023308754907122e+19,1,14102100
29,1.0024331030544394e+19,1,14102100
30,1.0024660782388111e+19,1,14102100
31,1.0024740338820479e+18,1,14102100
32,1.0024810769855576e+19,1,14102100
33,1.0024869997513159e+19,1,14102100
34,1.0028335185239032e+19,1,14102100
35,1.0028663841911511e+19,1,14102100
36,1.002932964486574e+19,1,14102100
37,1.0030054951926344e+19,1,14102100
38,1.0031141284541864e+19,1,14102100
39,1.0032540532403999e+19,1,14102100
40,1.0033270906068287e+19,1,14102100
41,1.0033581569437702e+19,1,14102100
42,1.0033757931529433e+19,1,14102100
43,1.0036789730923213e+19,1,14102100
44,1.003815010312522e+19,1,14102100
45,1.003882193051205e+19,1,14102100
46,1.0040214148118137e+19,1,14102100
47,1.004276137074064e+19,1,14102100
48,1.0043301534204613e+19,1,14102100
49,1.004588348483841e+19,1,14102100
50,1.0045998204472095e+19,1,14102100
51,1.0046495301432445e+19,1,14102100
52,1.0047236141311529e+19,1,14102100
53,1.0047611483795585e+19,1,14102100
54,1.0047774563054996e+16,1,14102100
55,1.0048158865190455e+19,1,14102100
56,1.0048447583457364e+19,1,14102100
57,1.0048824066846875e+18,1,14102100
58,1.0049717132264354e+19,1,14102100
59,1.0050438561825473e+19,1,14102100
60,1.0050938058905543e+19,1,14102100
61,1.0052561582444814e+19,1,14102100
62,1.005262755264887e+19,1,14102100
63,1.0053732565772497e+19,1,14102100
64,1.0054412349177618e+19,1,14102100
65,1.0055700314239054e+19,1,14102100
66,1.0055852557156008e+19,1,14102100
67,1.0056857270243133e+19,1,14102100
68,1.0057518165096698e+19,1,14102100
69,1.0058543072676827e+19,1,14102100
70,1.0058856496220336e+19,1,14102100
71,1.0059426879354964e+19,1,14102100
72,1.0059985053133224e+19,1,14102100
73,1.0060334205623955e+19,1,14102100
74,1.0060395879435434e+19,1,14102100
75,1.006182174459192e+19,1,14102100
76,1.0063985097368834e+19,1,14102100
77,1.0064593694443516e+19,1,14102100
78,1.006472497140065e+19,1,14102100
79,1.0066977634354356e+18,1,14102100
80,1.0067089693566306e+19,1,14102100
81,1.006742659246155e+19,1,14102100
82,1.0067489634429657e+19,1,14102100
83,1.0069255771604718e+19,1,14102100
84,1.0070328440095986e+19,1,14102100
85,1.0070540892129397e+19,1,14102100
86,1.007100121600986e+18,1,14102100
87,1.0072631714808044e+19,1,14102100
88,1.0076344303098397e+18,1,14102100
89,1.007855713050328e+19,1,14102100
90,1.0078688219933426e+19,1,14102100
91,1.0078857828475992e+19,1,14102100
92,1.0079239761300065e+18,1,14102100
93,1.0082801960992027e+19,1,14102100
94,1.008399208076891e+19,1,14102100
95,1.008442072722179e+19,1,14102100
96,1.0086427470103034e+19,1,14102100
97,1.0086615910300807e+19,1,14102100
98,1.0086741845084887e+19,1,14102100
99,1.0087140234020393e+19,1,14102100
100,1.0089540141922488e+19,1,14102100
101,1.0090727328216672e+19,1,14102100
102,1.0091222468553604e+18,1,14102100
103,1.0091707301225972e+19,1,14102100
104,1.0093977800236804e+19,1,14102100
105,1.0094498767287314e+19,1,14102100
106,1.0094660036958108e+19,1,14102100
